Function,GA_MeanTime,GA_MeanFitness,GA_BestFitness,GA_OptimalCount,PSO_MeanTime,PSO_MeanFitness,PSO_BestFitness,PSO_OptimalCount,AOS_MeanTime,AOS_MeanFitness,AOS_BestFitness,AOS_OptimalCount
1,0.576,0.0771,0.0105,0,0.0197,0.0,0.0,5,0.5362,0.0,0.0,5
2,0.554,0.4763,0.0094,1,0.1892,0.0,0.0,5,0.4725,0.0,0.0,5
3,1.7619,0.0548,0.0098,1,0.0387,0.8837,0.2475,0,0.7681,0.0,0.0,5
4,0.3323,1.0459,0.0875,0,0.0243,0.0,0.0,5,0.4488,0.0,0.0,5
5,0.1482,0.0075,0.004,4,0.0216,0.0006,0.0001,5,0.3869,0.0011,0.0002,5
6,0.657,-837.9567,-837.9639,3,0.0218,-837.9658,-837.9658,5,0.4258,-837.9589,-837.9634,4
7,0.5291,0.0035,0.0004,5,0.0206,0.0,0.0,5,0.3939,0.199,0.0,4
8,0.6884,0.0298,0.0072,2,0.0261,0.0,0.0,5,0.5324,0.0,0.0,5
9,0.6607,-3.8626,-3.8627,5,0.782,-3.8628,-3.8628,5,0.9102,-3.8612,-3.8628,5
10,0.5854,-3.2424,-3.3208,1,0.6847,-3.1846,-3.203,0,0.8226,-3.2243,-3.3215,1
11,0.8808,-10.4416,-10.4954,0,1.0796,-5.9503,-10.5364,2,1.1907,-9.0561,-10.5201,0
